rule_text,rule_json,lift_tr,lift_te,prec_te,n_te
atrp>3.536 & rng_contract>1.153 & dh10<=-10.779 & dh40>-22.413,"[[""atrp"", "">"", 3.536], [""rng_contract"", "">"", 1.153], [""dh10"", ""<="", -10.779], [""dh40"", "">"", -22.413]]",2.3,1.49,0.157,535
dh10<=-10.568 & dh40>-22.406 & rng_contract>1.376 & mtd_daysup<=1.5,"[[""dh10"", ""<="", -10.568], [""dh40"", "">"", -22.406], [""rng_contract"", "">"", 1.376], [""mtd_daysup"", ""<="", 1.5]]",3.99,1.45,0.153,111
atrp<=3.536 & dh10<=-10.084 & run20>-14.778 & rng_contract<=0.988,"[[""atrp"", ""<="", 3.536], [""dh10"", ""<="", -10.084], [""run20"", "">"", -14.778], [""rng_contract"", ""<="", 0.988]]",0.55,1.44,0.152,66
dh5<=-7.145 & dh10<=-14.066 & rng_contract>1.157 & dh40>-21.769,"[[""dh5"", ""<="", -7.145], [""dh10"", ""<="", -14.066], [""rng_contract"", "">"", 1.157], [""dh40"", "">"", -21.769]]",2.39,1.43,0.151,192
atrp<=3.536 & dh10<=-10.084 & run20>-14.778 & rng_contract>0.988,"[[""atrp"", ""<="", 3.536], [""dh10"", ""<="", -10.084], [""run20"", "">"", -14.778], [""rng_contract"", "">"", 0.988]]",1.29,1.42,0.15,180
dh5<=-7.145 & dh10>-14.066 & rng_contract<=1.367 & base_tight20<=17.267,"[[""dh5"", ""<="", -7.145], [""dh10"", "">"", -14.066], [""rng_contract"", ""<="", 1.367], [""base_tight20"", ""<="", 17.267]]",0.83,1.41,0.148,458
atrp>3.536 & atr5v20<=0.978 & d_sma200>34.311 & dh20>-12.061,"[[""atrp"", "">"", 3.536], [""atr5v20"", ""<="", 0.978], [""d_sma200"", "">"", 34.311], [""dh20"", "">"", -12.061]]",1.33,1.39,0.147,143
base_tight20>18.272 & rng_contract<=1.101 & atrp>3.94 & atr5v20>0.889,"[[""base_tight20"", "">"", 18.272], [""rng_contract"", ""<="", 1.101], [""atrp"", "">"", 3.94], [""atr5v20"", "">"", 0.889]]",1.55,1.39,0.146,3465
atrp<=3.536 & dh10<=-10.084 & dh10>-15.405 & v_ratio<=1.122,"[[""atrp"", ""<="", 3.536], [""dh10"", ""<="", -10.084], [""dh10"", "">"", -15.405], [""v_ratio"", ""<="", 1.122]]",0.87,1.39,0.146,137
atrp>3.536 & atr5v20<=0.978 & atrp>4.711 & atrp<=5.862,"[[""atrp"", "">"", 3.536], [""atr5v20"", ""<="", 0.978], [""atrp"", "">"", 4.711], [""atrp"", ""<="", 5.862]]",1.27,1.37,0.144,3154
atrp<=3.536 & dh10<=-10.084 & run20<=-14.778 & wtd_daysup>0.5,"[[""atrp"", ""<="", 3.536], [""dh10"", ""<="", -10.084], [""run20"", ""<="", -14.778], [""wtd_daysup"", "">"", 0.5]]",0.68,1.36,0.143,35
atrp<=3.536 & rng_contract<=1.369 & dh20<=-13.511 & run20>-19.917,"[[""atrp"", ""<="", 3.536], [""rng_contract"", ""<="", 1.369], [""dh20"", ""<="", -13.511], [""run20"", "">"", -19.917]]",0.86,1.35,0.142,260
base_tight20<=18.272 & atrp>3.132 & atrp>3.736 & atr5v20>0.962,"[[""base_tight20"", ""<="", 18.272], [""atrp"", "">"", 3.132], [""atrp"", "">"", 3.736], [""atr5v20"", "">"", 0.962]]",1.33,1.34,0.141,1973
atrp>3.536 & atr5v20>0.978 & dh10>-14.718 & base_tight20>18.425,"[[""atrp"", "">"", 3.536], [""atr5v20"", "">"", 0.978], [""dh10"", "">"", -14.718], [""base_tight20"", "">"", 18.425]]",1.67,1.33,0.141,4575
dh10>-10.568 & atrp>3.315 & rng_contract>1.144 & rng_contract>1.615,"[[""dh10"", "">"", -10.568], [""atrp"", "">"", 3.315], [""rng_contract"", "">"", 1.144], [""rng_contract"", "">"", 1.615]]",2.27,1.33,0.14,300
atrp>3.536 & rng_contract>1.153 & dh20>-18.583 & rng_contract<=1.615,"[[""atrp"", "">"", 3.536], [""rng_contract"", "">"", 1.153], [""dh20"", "">"", -18.583], [""rng_contract"", ""<="", 1.615]]",1.58,1.33,0.14,3115
atrp>3.536 & atr5v20>0.978 & dh20>-20.396 & rng_contract>1.376,"[[""atrp"", "">"", 3.536], [""atr5v20"", "">"", 0.978], [""dh20"", "">"", -20.396], [""rng_contract"", "">"", 1.376]]",2.14,1.32,0.139,1244
atrp>3.536 & rng_contract<=1.153 & atrp>4.158 & dh10>-15.085,"[[""atrp"", "">"", 3.536], [""rng_contract"", ""<="", 1.153], [""atrp"", "">"", 4.158], [""dh10"", "">"", -15.085]]",1.29,1.32,0.139,8604
atrp>3.536 & rng_contract<=1.153 & dh10>-15.086 & atrp>4.158,"[[""atrp"", "">"", 3.536], [""rng_contract"", ""<="", 1.153], [""dh10"", "">"", -15.086], [""atrp"", "">"", 4.158]]",1.29,1.32,0.139,8604
atrp>3.536 & rng_contract>1.153 & dh40>-22.413 & rng_contract<=1.615,"[[""atrp"", "">"", 3.536], [""rng_contract"", "">"", 1.153], [""dh40"", "">"", -22.413], [""rng_contract"", ""<="", 1.615]]",1.53,1.31,0.139,2938
atrp<=3.536 & dh40<=-18.748 & run20>-14.91 & atr5v20>1.085,"[[""atrp"", ""<="", 3.536], [""dh40"", ""<="", -18.748], [""run20"", "">"", -14.91], [""atr5v20"", "">"", 1.085]]",1.27,1.31,0.138,116
atrp>3.536 & rng_contract<=1.153 & dh10>-15.086 & base_tight20>22.127,"[[""atrp"", "">"", 3.536], [""rng_contract"", ""<="", 1.153], [""dh10"", "">"", -15.086], [""base_tight20"", "">"", 22.127]]",1.31,1.31,0.138,5585
