entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired
2025-08-25,2025-08-22,15,"RPOWER,OLAELEC,SWANCORP,SPLPETRO,GODFRYPHLP,IDEA,LEMONTREE,IDBI,GPIL,CRAFTSMAN,CPPLUS,NAVA,NEULANDLAB,FORCEMOT,TEJASNET",163.08545906828385,54.666666666666664
2025-08-26,2025-08-25,15,"CPPLUS,IDEA,LEMONTREE,GPIL,SUNDARMFIN,NETWEB,PARADEEP,OLECTRA,ZFCVINDIA,NAVA,PFIZER,SWANCORP,TEJASNET,CRISIL,ACMESOLAR",153.11630241132818,51.13333333333333
2025-08-28,2025-08-26,15,"OLAELEC,PARADEEP,ECLERX,AIIL,CRAFTSMAN,LINDEINDIA,HYUNDAI,WAAREEENER,ABFRL,CPPLUS,NETWEB,VMM,IDEA,ATHERENERG,JSL",169.4666093881246,45.0
2025-08-29,2025-08-28,15,"OLAELEC,WAAREEENER,HONAUT,ACE,VTL,JSL,CRAFTSMAN,JKCEMENT,AIIL,ECLERX,ENDURANCE,MARUTI,NYKAA,JSWDULUX,DEVYANI",185.39849805838372,46.6
2025-09-01,2025-08-29,15,"OLAELEC,VTL,ATHERENERG,HONAUT,WAAREEENER,NAVA,TRAVELFOOD,HBLENGINE,GRANULES,JSWDULUX,PTCIL,ENDURANCE,NEULANDLAB,GODFRYPHLP,CGPOWER",150.11813071081158,48.46666666666667
2025-09-02,2025-09-01,15,"ATHERENERG,OLAELEC,PTCIL,GRANULES,HBLENGINE,HONAUT,WAAREEENER,VTL,NAVA,TRAVELFOOD,CRAFTSMAN,AIIL,ECLERX,GABRIEL,PFIZER",155.61052527542807,55.4
2025-09-03,2025-09-02,15,"OLAELEC,ECLERX,ATHERENERG,MRF,GABRIEL,CRAFTSMAN,SAMMAANCAP,JKTYRE,SPLPETRO,GODFRYPHLP,GRANULES,HBLENGINE,CHENNPETRO,NAVA,NATIONALUM",151.5022780071094,48.333333333333336
2025-09-04,2025-09-03,15,"MRF,GABRIEL,NETWEB,OLAELEC,NSLNISP,ATHERENERG,NEULANDLAB,SAMMAANCAP,ITI,ZFCVINDIA,CEATLTD,TBOTEK,HONAUT,GMDCLTD,ZYDUSWELL",159.33519505559892,53.666666666666664
2025-09-05,2025-09-04,15,"TBOTEK,OLAELEC,DOMS,NEULANDLAB,CPPLUS,NSLNISP,ZYDUSWELL,NETWEB,CRAFTSMAN,TRAVELFOOD,SYRMA,SAMMAANCAP,BATAINDIA,ITI,NIACL",172.88915942411506,52.2
2025-09-08,2025-09-05,15,"OLAELEC,DOMS,IDEA,NETWEB,BLUEJET,SYRMA,ZYDUSWELL,GMDCLTD,NEULANDLAB,CARTRADE,SAMMAANCAP,BATAINDIA,TBOTEK,HONAUT,CPPLUS",159.3660532462647,50.6
2025-09-09,2025-09-08,15,"IDEA,NETWEB,GALLANTT,COHANCE,FIRSTCRY,MSUMI,GMDCLTD,ABFRL,ATHERENERG,TBOTEK,SYRMA,EICHERMOT,DOMS,KAYNES,JPPOWER",162.15676821335035,49.6
2025-09-10,2025-09-09,15,"GMDCLTD,MSUMI,ABFRL,NETWEB,TBOTEK,ATHERENERG,JPPOWER,IDEA,GALLANTT,CARTRADE,SPLPETRO,COHANCE,FIRSTCRY,NSLNISP,OLAELEC",163.49848567216088,50.86666666666667
2025-09-11,2025-09-10,15,"ATHERENERG,COHANCE,MSUMI,GALLANTT,WELSPUNLIV,ABFRL,GMDCLTD,GABRIEL,MRF,APARINDS,CRAFTSMAN,VTL,OLAELEC,FIRSTCRY,OFSS",155.08592931464992,53.266666666666666
2025-09-12,2025-09-11,15,"OFSS,NETWEB,NSLNISP,NEULANDLAB,GALLANTT,APARINDS,PTCIL,WAAREEENER,WELSPUNLIV,ATHERENERG,ELECON,VTL,GMDCLTD,FORCEMOT,NLCINDIA",154.43259779707392,51.13333333333333
2025-09-15,2025-09-12,15,"WAAREEENER,NEULANDLAB,GMDCLTD,JBMA,COHANCE,OFSS,IDEA,NETWEB,MSUMI,PTCIL,BEML,SPLPETRO,WELSPUNLIV,CPPLUS,ABDL",150.2059220186197,51.06666666666667
2025-09-16,2025-09-15,15,"JBMA,NEULANDLAB,IDEA,HINDCOPPER,GMDCLTD,RAILTEL,GPIL,WAAREEENER,ANANTRAJ,GRSE,CPPLUS,DATAPATTNS,APARINDS,MSUMI,SOBHA",159.91448155373024,52.666666666666664
2025-09-17,2025-09-16,15,"IDEA,GPIL,JBMA,HINDCOPPER,RAILTEL,NEULANDLAB,GMDCLTD,AEGISLOG,ANANTRAJ,FORCEMOT,SARDAEN,MOTHERSON,REDINGTON,KPRMILL,COCHINSHIP",165.77114978501822,52.333333333333336
2025-09-18,2025-09-17,15,"REDINGTON,PTCIL,AEGISLOG,NEULANDLAB,ANANTRAJ,FORCEMOT,DATAPATTNS,ZFCVINDIA,DCMSHRIRAM,IDEA,RAILTEL,BELRISE,GODFRYPHLP,JBMA,COCHINSHIP",159.04146878776473,52.2
2025-09-19,2025-09-18,15,"PTCIL,GRSE,HINDCOPPER,DATAPATTNS,FORCEMOT,COCHINSHIP,NETWEB,POONAWALLA,SONATSOFTW,ZENTEC,DCMSHRIRAM,REDINGTON,IFCI,HFCL,AEGISLOG",158.93316889467226,50.2
2025-09-22,2025-09-19,15,"IDEA,ZENTEC,REDINGTON,PTCIL,ANANTRAJ,ATGL,ATUL,ADANIPOWER,POONAWALLA,CARTRADE,NETWEB,IFCI,SPLPETRO,NEULANDLAB,DCMSHRIRAM",154.47702190290786,53.13333333333333
