rule_id,feature,direction,threshold,selected_n,fired_n,label_precision,label_lift,outcome_mean_5x,outcome_win,score
R0003,volume__pct,hi,0.95,31,1416,0.021892655367231638,1.287140337075973,0.7076103287081384,49.43502824858757,0.8930049847702124
R0098,vol_ratio_20d__pct,hi,0.7,174,8378,0.02076867987586536,1.221058166203831,0.5616389631370983,49.49868703747911,0.8608583977781987
R0114,ret_z_20d__pct,lo,0.3,138,8352,0.016522988505747127,0.9714401765362045,1.452750224330107,52.63409961685823,0.8585098407113183
R0118,up_day_streak__pct,hi,0.7,161,7225,0.022283737024221453,1.310133298293256,0.3626526285870206,48.332179930795846,0.8581590269024135
R0125,down_day_streak__pct,hi,0.9,34,2288,0.01486013986013986,0.8736759021569148,2.019710167737517,54.23951048951049,0.8560993201258741
R0123,down_day_streak__pct,hi,0.7,118,6956,0.01696377228292122,0.9973552868785834,1.5015038883684135,52.44393329499712,0.8529163717479192
R0224,first30_volume__pct,lo,0.2,106,5546,0.019112874143526866,1.1237079675776513,1.224147583969775,51.3703570140642,0.8458144921747335
R0340,max_green_streak_1m__pct,lo,0.3,149,8782,0.01696652243224778,0.9975169770925763,1.4143803714237655,52.015486221817355,0.8415139500877018
R0254,last15_ret_pct__pct,lo,0.2,115,5546,0.020735665344392355,1.2191171346361311,0.6412495524269024,47.72809231878832,0.8364249831720453
R0268,last15_volume__pct,hi,0.95,30,1416,0.0211864406779661,1.2456196810412643,0.7969872548505189,49.717514124293785,0.8361628023683317
R0354,max_red_streak_1m__pct,lo,0.2,95,4873,0.019495177508721526,1.1461848245001085,1.0475526575343006,50.07182433819003,0.8336108414477544
R0039,daily_close_loc__pct,lo,0.3,150,8386,0.01788695444788934,1.0516321657252745,1.3684004904836045,52.56379680419747,0.827259983874394
R0256,last15_ret_pct__pct,lo,0.05,33,1357,0.02431834929992631,1.4297547643256252,0.36417086054386555,48.047162859248346,0.8215912513252188
R0101,vol_ratio_20d__pct,hi,0.95,34,1416,0.02401129943502825,1.4117023051800996,0.3842167912735277,47.951977401129945,0.8201173015924074
R0025,open_gap_pct__pct,lo,0.2,107,5499,0.019458083287870524,1.1440039347391893,0.9673311062107106,51.045644662665936,0.8035273942089481
R0047,ret2_pct__pct,lo,0.3,118,8319,0.014184397163120567,0.833946793548194,1.4196566975982774,51.77304964539007,0.8015026586120817
R0299,last60_ret_pct__pct,hi,0.9,58,2832,0.020480225988700564,1.2040990250065555,0.7956618383287498,48.23446327683616,0.7993522389509564
R0009,prev_close__pct,hi,0.8,109,5605,0.01944692239072257,1.1433477493347186,0.956075257628432,51.132917038358606,0.7966174085107525
