bucket,symbol,patterns,total_n,avg_d1_mean,max_avg_d1,edge_score,stability_score,weighted_avg_d1
1-2%,POLYCAB,38,345,1.4157894736842105,1.814,457.897,150.93043068154543,1.3272376811594202
1-2%,CESC,33,336,1.4086666666666665,1.976,455.558,141.3268488702336,1.355827380952381
1-2%,HFCL,26,367,1.3329615384615383,1.95,454.32599999999996,117.12582651302512,1.2379455040871934
1-2%,SBICARD,41,339,1.3920000000000001,1.999,449.668,156.25313003351556,1.3264542772861356
1-2%,MAHABANK,34,348,1.3713823529411766,1.963,448.748,136.02611776551504,1.2895057471264368
1-2%,KEC,24,329,1.3812916666666668,1.952,444.698,118.33216361174517,1.3516656534954408
1-2%,JWL,23,349,1.2948260869565218,1.822,443.494,108.44607296329262,1.2707564469914039
1-2%,CUMMINSIND,45,335,1.3380666666666667,1.977,440.35699999999997,158.48091265187102,1.3144985074626865
1-2%,HSCL,32,360,1.30065625,1.962,439.671,128.88890244809053,1.2213083333333332
1-2%,UPL,50,361,1.26242,1.956,439.591,161.9418192964379,1.2177036011080333
1-2%,RBLBANK,31,332,1.3880967741935484,1.975,436.851,131.34346912117297,1.315816265060241
1-2%,PFC,44,341,1.3095454545454546,1.862,436.815,150.28534545355063,1.2809824046920824
1-2%,GILLETTE,51,310,1.447529411764706,1.986,436.656,174.70264932463274,1.4085677419354838
1-2%,EIHOTEL,34,340,1.346235294117647,1.845,434.612,137.44518259209886,1.2782705882352943
1-2%,ANANTRAJ,32,350,1.296,1.834,432.90999999999997,128.11320093133602,1.2368857142857141
1-2%,NAM-INDIA,33,314,1.3997575757575758,1.903,432.562,137.0136976113255,1.3775859872611464
1-2%,KPIL,31,339,1.3348064516129032,1.888,432.02,127.91594013018727,1.2743952802359886
1-2%,ENGINERSIN,29,335,1.3876206896551724,1.983,431.974,125.01190608774887,1.2894746268656718
1-2%,KPRMILL,40,319,1.41205,1.96,429.85,149.1811052495606,1.3474921630094043
1-2%,BAJAJHLDNG,29,327,1.3495517241379311,1.864,429.752,119.6485074200972,1.3142262996941898
1-2%,KAJARIACER,34,331,1.3030588235294118,1.924,427.303,133.35587962595721,1.2909456193353472
1-2%,LICHSGFIN,46,325,1.3839130434782607,1.929,426.318,158.45395916521375,1.3117476923076923
1-2%,ELECON,32,291,1.4693125,1.977,424.205,135.18047415348565,1.4577491408934709
1-2%,EIDPARRY,40,329,1.3402749999999999,1.978,421.423,143.39619137912047,1.2809209726443769
1-2%,PTCIL,37,306,1.4447837837837838,1.999,420.03000000000003,144.41117572143017,1.3726470588235296
1-2%,RECLTD,34,322,1.3260882352941177,1.966,416.646,131.68999225037075,1.2939316770186333
1-2%,MOTHERSON,37,319,1.3643513513513514,1.848,411.637,135.2016726944949,1.290398119122257
1-2%,ADANIENT,20,294,1.42405,1.906,411.368,105.72067468302383,1.3992108843537416
1-2%,JSWSTEEL,39,326,1.3008205128205128,1.833,409.76,138.10556247222564,1.2569325153374236
1-2%,CHENNPETRO,19,313,1.3762105263157896,1.884,405.936,98.27750752694261,1.296920127795527
1-2%,GRASIM,44,293,1.4401363636363635,1.98,404.247,153.93166230750018,1.3796825938566553
1-2%,JBCHEPHARM,40,307,1.33685,1.941,396.49,140.91703439756523,1.2914983713355048
1-2%,GMRAIRPORT,38,301,1.4093421052631578,1.896,395.304,136.80624558902724,1.3133023255813954
1-2%,CYIENT,29,301,1.4089655172413793,1.92,395.214,120.15153445556152,1.3130033222591362
1-2%,ABSLAMC,36,300,1.3980833333333333,1.986,393.093,132.85234932349658,1.31031
1-2%,MINDACORP,37,313,1.3182162162162163,1.888,391.224,132.10417269214426,1.2499169329073483
1-2%,SHRIRAMFIN,35,305,1.3242285714285713,1.882,391.067,130.73776623026396,1.2821868852459017
1-2%,TATASTEEL,36,290,1.4342777777777778,1.941,387.103,134.7223356044115,1.334837931034483
1-2%,OBEROIRLTY,35,281,1.3994285714285712,1.993,386.314,134.3411732824221,1.3747829181494662
1-2%,DEVYANI,28,275,1.4224642857142857,1.878,385.86,120.52743226561384,1.4031272727272726
1-2%,TRITURBINE,27,271,1.4317037037037037,1.963,384.467,118.40688791550832,1.4186974169741697
1-2%,ENDURANCE,40,304,1.3453,1.861,384.215,138.3233837127534,1.2638651315789475
1-2%,HONAUT,27,263,1.4035555555555557,1.943,381.57,115.11335158511982,1.4508365019011407
1-2%,JKTYRE,31,314,1.281516129032258,1.868,380.606,116.97617290096213,1.2121210191082803
1-2%,PNBHOUSING,29,291,1.3972068965517241,1.847,379.349,116.94700824723073,1.3036048109965634
1-2%,CCL,31,260,1.4655483870967743,1.972,377.922,127.85535929710464,1.453546153846154
1-2%,MGL,28,298,1.3848928571428571,1.988,377.831,112.59147695942247,1.2678892617449664
1-2%,SCHAEFFLER,34,299,1.3038529411764708,1.954,377.005,124.80778828741455,1.260886287625418
1-2%,ZFCVINDIA,33,280,1.37,1.993,375.727,125.29204683221339,1.3418821428571428
1-2%,BALKRISIND,40,292,1.3070249999999999,1.899,372.541,136.81976570594665,1.2758253424657535
1-2%,OIL,27,291,1.309962962962963,1.927,372.08,110.90352665769126,1.2786254295532646
1-2%,GSPL,30,278,1.3886333333333334,1.999,371.127,120.67889642611284,1.3349892086330937
1-2%,TORNTPOWER,27,283,1.3447407407407408,1.758,369.648,111.85494726430633,1.3061766784452298
1-2%,SCI,27,272,1.3473333333333333,1.914,362.193,109.68456841099938,1.331591911764706
1-2%,SOLARINDS,31,260,1.4405161290322581,1.916,360.693,121.69738930948743,1.387280769230769
1-2%,BEL,42,280,1.3325238095238094,1.972,360.394,138.02875834492343,1.2871214285714285
1-2%,PERSISTENT,23,300,1.2439130434782608,1.935,360.134,98.15634657169616,1.2004466666666667
1-2%,WHIRLPOOL,33,265,1.4205757575757576,1.99,359.762,125.06559195372057,1.3575924528301884
1-2%,BLUEJET,34,273,1.3606764705882353,1.987,357.407,121.55968010958802,1.3091831501831503
1-2%,RKFORGE,22,277,1.3100454545454545,1.806,357.299,97.49954135395971,1.2898880866425992
1-2%,AMBUJACEM,33,285,1.2746969696969697,1.914,345.625,114.44645122891686,1.212719298245614
1-2%,RPOWER,23,252,1.3003913043478261,1.875,345.14,95.36293850706168,1.3696031746031745
1-2%,SPLPETRO,28,284,1.2783214285714286,1.915,344.999,106.34370318752538,1.2147852112676054
1-2%,CHOLAFIN,33,267,1.3513333333333333,1.999,343.529,117.99860208051764,1.286625468164794
1-2%,VOLTAS,33,260,1.396787878787879,1.893,343.07099999999997,120.04825880409469,1.319503846153846
1-2%,KEI,31,259,1.3191290322580644,1.895,341.55,113.99127435574727,1.3187258687258685
1-2%,ANANDRATHI,32,258,1.36875,1.89,340.726,117.62492567900887,1.3206434108527132
1-2%,CGCL,21,257,1.3804285714285716,1.776,340.411,93.1937693406649,1.3245564202334632
1-2%,ARE&M,27,266,1.3377777777777777,1.961,340.176,106.08860612037479,1.278857142857143
1-2%,HOMEFIRST,28,243,1.4123214285714287,1.979,337.759,111.75193606529456,1.3899547325102883
1-2%,SUMICHEM,32,248,1.39890625,1.996,337.36,120.40868083831177,1.3603225806451613
1-2%,CANBK,37,252,1.3670810810810812,1.96,332.45799999999997,124.93715167016784,1.3192777777777775
1-2%,SAIL,28,251,1.4124999999999999,1.984,327.841,108.89421147210473,1.3061394422310757
1-2%,SUPREMEIND,30,240,1.3705666666666665,1.969,325.30899999999997,111.23238321689216,1.3554541666666666
1-2%,ABB,36,247,1.3020833333333333,1.987,324.73,119.89148865757456,1.3146963562753036
1-2%,BANKINDIA,26,240,1.3470384615384614,1.724,321.807,102.59530898428062,1.3408624999999998
1-2%,GICRE,25,233,1.41316,1.984,319.38,103.09085593698067,1.3707296137339056
1-2%,APLAPOLLO,36,225,1.480222222222222,1.99,319.013,127.2819405872213,1.4178355555555555
1-2%,GLENMARK,31,228,1.4418387096774195,1.957,318.925,114.7107396572062,1.398793859649123
1-2%,DEEPAKNTR,22,246,1.3596363636363635,1.921,318.68399999999997,92.04195853942879,1.2954634146341462
1-2%,TIMKEN,31,240,1.3418064516129031,1.943,316.827,112.78310094435706,1.3201124999999998
1-2%,VBL,30,251,1.3326333333333333,1.804,315.233,106.77446401074066,1.2559083665338646
1-2%,SUZLON,19,250,1.334421052631579,1.948,306.102,83.6241731582341,1.2244080000000002
1-2%,NAVINFLUOR,35,234,1.314142857142857,1.797,302.154,115.35902580031242,1.29125641025641
1-2%,SAPPHIRE,22,241,1.2461363636363636,1.859,301.944,86.42488569922517,1.252879668049793
1-2%,INDIANB,29,228,1.3375172413793102,1.973,297.734,102.69356156099737,1.3058508771929824
1-2%,ADANIGREEN,23,233,1.3218260869565217,1.951,295.497,91.49553884634217,1.268227467811159
1-2%,NSLNISP,25,244,1.30912,1.9,293.707,92.22885806761187,1.203717213114754
