pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier,prior_score
FALCPAT_7976,NLCINDIA,20,1.518,1-2%,30.36,6.7887023796893615,hit_15pc_20d,breakout,39.295392953929536,15.52565995111252,23.769733002817016,PROMOTED,volatility (20d ATR%) >= 2.9808 AND days with sub-3% range in last 7 <= 3.5 AND close position in weekly range >= 0.7255 AND distance from 20-week SMA <= -3.6827,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|compression|weekly_strength,B_broad_edge,4.621585060464156
FALCPAT_7786,ECLERX,23,1.454,1-2%,33.442,6.973139034896693,hit_15pc_20d,other,31.722880583409296,15.52565995111252,16.197220632296776,PROMOTED,days with sub-2.5% range in last 7 <= 0.5 AND distance from 20-week SMA <= 3.0555 AND weekly range % <= 9.0613,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",compression,B_broad_edge,4.620890269325913
FALCPAT_6819,FACT,77,1.06,1-2%,81.62,9.30146225063565,hit_10pc_20d,other,58.485949951069486,32.698883353500555,25.787066597568923,PROMOTED,volatility (20d ATR%) >= 2.3312 AND 60d relative strength vs market <= 28.9405 AND close position in weekly range >= 0.3113 AND weekly range % >= 10.1174,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength|relative_strength,B_broad_edge,4.618111356290967
FALCPAT_7179,POLICYBZR,28,1.371,1-2%,38.388,7.254650094939108,hit_15pc_20d,breakout,38.99428694621106,17.450644806122114,21.543642140088945,PROMOTED,volatility (20d ATR%) >= 2.9331 AND close position in weekly range >= 0.6044 AND distance from 20-week SMA <= 21.1347 AND weekly range % >= 9.6857,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge,4.616562582911456
FALCPAT_7620,RITES,28,1.371,1-2%,38.388,7.254650094939108,hit_10pc_20d,breakout,47.21488746385012,30.24927834188964,16.96560912196048,PROMOTED,distance from 50-DMA <= 14.898 AND 5-day return >= 3.643 AND close position in weekly range >= 0.5098 AND weekly range % >= 9.062,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge,4.616562582911456
FALCPAT_7976,SONATSOFTW,30,1.344,1-2%,40.32,7.361391172869433,hit_15pc_20d,breakout,39.295392953929536,15.52565995111252,23.769733002817016,PROMOTED,volatility (20d ATR%) >= 2.9808 AND days with sub-3% range in last 7 <= 3.5 AND close position in weekly range >= 0.7255 AND distance from 20-week SMA <= -3.6827,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|compression|weekly_strength,B_broad_edge,4.615278802828037
FALCPAT_6431,HBLENGINE,43,1.219,1-2%,52.417,7.993517561124139,hit_15pc_20d,other,24.274961257471773,18.31582194494749,5.959139312524281,PROMOTED,volatility (20d ATR%) >= 2.6908 AND distance from 60-day high <= -15.9195 AND 60d relative strength vs market <= -12.3114 AND close position in weekly range <= 0.7316,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_weak_close|relative_strength,B_broad_edge,4.6129271637463605
FALCPAT_6999,GALLANTT,34,1.297,1-2%,44.098,7.562744607614355,hit_15pc_20d,other,26.91761363636364,17.450644806122114,9.46696883024152,PROMOTED,volatility (20d ATR%) <= 4.4018 AND distance from 20-DMA >= 8.5001 AND distance from 20-week SMA >= 0.261 AND weekly range % >= 8.5031,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion,B_broad_edge,4.611286435751769
FALCPAT_6882,GVT&D,69,1.085,1-2%,74.865,9.01268689126611,hit_10pc_20d,other,49.3234100135318,32.698883353500555,16.62452666003124,PROMOTED,volatility (20d ATR%) >= 3.3684 AND short-term vol vs longer-term >= 1.0196 AND distance from 120-day high <= -7.2128 AND weekly range % >= 8.5705,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,B_broad_edge,4.609617337623555
FALCPAT_8163,HINDZINC,24,1.432,1-2%,34.367999999999995,7.015338623331021,hit_10pc_20d,other,43.76235666271253,30.24927834188964,13.513078320822896,PROMOTED,volatility (20d ATR%) >= 3.08 AND days with sub-75% volume in last 20 >= 12.5 AND close position in weekly range >= 0.4086,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge,4.609430181211263
FALCPAT_8171,LODHA,31,1.33,1-2%,41.230000000000004,7.405126602563929,hit_40pc_40d,breakout,9.217691592508965,2.9651372889629943,6.2525543035459705,PROMOTED,volatility (20d ATR%) >= 3.3699 AND slope of 50-DMA <= -1.3271 AND close position in weekly range >= 0.5672 AND distance from 20-week SMA <= -0.524,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge,4.6094287507236364
FALCPAT_7269,INTELLECT,22,1.47,1-2%,32.339999999999996,6.8949111669404415,hit_15pc_20d,other,31.17687023477014,17.450644806122114,13.726225428648023,PROMOTED,volatility (20d ATR%) >= 2.4718 AND 60d relative strength vs sector <= -2.2329 AND distance from 20-week SMA >= -0.6049 AND weekly range % >= 7.7426,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|relative_strength,B_broad_edge,4.60917649741585
FALCPAT_8211,ERIS,33,1.307,1-2%,43.131,7.508143379025203,hit_15pc_20d,other,37.890338660020525,15.52565995111252,22.364678708908,PROMOTED,volatility (20d ATR%) >= 2.8187 AND slope of 50-DMA <= 3.0696 AND close position in weekly range >= 0.4392 AND weekly range % >= 10.3769,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge,4.608953205673323
FALCPAT_8509,HUDCO,28,1.368,1-2%,38.304,7.238775587072721,hit_10pc_20d,other,38.778195488721806,30.24927834188964,8.528917146832166,PROMOTED,distance from 60-day high >= -3.6453 AND weekly range % >= 8.9238,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion,B_broad_edge,4.606460695421497
FALCPAT_7567,IOB,27,1.382,1-2%,37.314,7.181082648180565,hit_40pc_40d,capitulation,13.349958437240234,4.0653742907808095,9.284584146459425,PROMOTED,distance from year-high <= -42.394 AND daily range % >= 3.571 AND slope of 50-DMA <= -0.0729,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,B_broad_edge,4.605106633062132
FALCPAT_8101,DEEPAKFERT,20,1.512,1-2%,30.240000000000002,6.7618695639593644,hit_10pc_20d,breakout,69.03997665596732,30.24927834188964,38.79069831407767,PROMOTED,volatility (20d ATR%) >= 3.1155 AND 5-day return <= 5.4794 AND close position in weekly range >= 0.53 AND weekly range % >= 10.472,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness|weekly_strength,B_broad_edge,4.603317925837816
FALCPAT_9429,APARINDS,28,1.367,1-2%,38.275999999999996,7.233484084450591,hit_15pc_20d,other,34.94736842105263,19.56237142322798,15.384996997824654,PROMOTED,volatility (20d ATR%) >= 4.2484 AND distance from year-high <= -15.7819 AND distance from 200-DMA >= 1.1002 AND 20d relative strength vs sector <= 2.6078,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|relative_strength,B_broad_edge,4.60309339959151
FALCPAT_6951,AMBER,24,1.43,1-2%,34.32,7.005540664359889,hit_25pc_30d,other,17.086321786459127,9.458155042142677,7.628166744316451,PROMOTED,volatility (20d ATR%) >= 2.4437 AND distance from 50-DMA <= -2.9357 AND weekly range % >= 10.0261,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion,B_broad_edge,4.602992429561526
FALCPAT_8037,GPIL,24,1.43,1-2%,34.32,7.005540664359889,hit_25pc_30d,breakout,17.425968109339408,7.722364089468664,9.703604019870744,PROMOTED,volatility (20d ATR%) >= 2.53 AND slope of 20-DMA <= -1.6316 AND close position in weekly range >= 0.573 AND weekly range % >= 5.5463,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge,4.602992429561526
