pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier
FALCPAT_8621,HINDALCO,4,4.209,2-5%,16.836,8.418,hit_25pc_30d,other,20.158218576032816,7.722364089468664,12.435854486564152,PROMOTED,volatility (20d ATR%) >= 3.5234 AND close position in weekly range <= 0.7828 AND close position in weekly range >= 0.3476 AND weekly range % >= 12.8291,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength|weekly_weak_close,ignore
FALCPAT_8462,AUROPHARMA,3,4.203,2-5%,12.609000000000002,7.279809544211991,hit_15pc_20d,other,42.62422360248447,15.52565995111252,27.09856365137196,PROMOTED,slope of 50-DMA <= 0.4452 AND close position in weekly range >= 0.2196 AND weekly range % >= 12.8017,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_8136,FIVESTAR,3,4.2,2-5%,12.600000000000001,7.274613391789284,,,,,,,,,other,ignore
FALCPAT_8325,ITI,4,4.19,2-5%,16.76,8.38,hit_10pc_20d,breakout,64.87179487179488,30.24927834188964,34.62251652990523,PROMOTED,60-day return <= 69.6886 AND close position in weekly range >= 0.7007 AND distance from 20-week SMA >= 39.2838 AND weekly range % >= 5.1372,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness|weekly_strength,ignore
FALCPAT_9574,IDFCFIRSTB,4,4.179,2-5%,16.716,8.358,hit_15pc_20d,breakout,39.24941360437842,19.56237142322798,19.68704218115044,PROMOTED,volatility (20d ATR%) >= 3.5761 AND distance from year-high >= -27.4711 AND close position in weekly range >= 0.5899 AND weekly range % >= 8.6569,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_9317,VIJAYA,12,4.176,2-5%,50.112,14.466088344815264,hit_25pc_30d,capitulation,21.47957726363896,10.408532325017468,11.071044938621492,PROMOTED,distance from year-high <= -27.2313 AND distance from 60-day high <= -12.4475 AND slope of 50-DMA <= -0.5788 AND weekly range % >= 9.5581,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,A_high_edge
FALCPAT_6343,INOXWIND,4,4.175,2-5%,16.7,8.35,hit_15pc_20d,capitulation,38.735058253896206,18.31582194494749,20.41923630894871,PROMOTED,distance from year-high <= -45.8435 AND distance from 20-week SMA <= -13.0796,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high,ignore
FALCPAT_8764,INOXWIND,4,4.175,2-5%,16.7,8.35,hit_10pc_20d,capitulation,68.38351822503962,35.380587245184216,33.00293097985541,PROMOTED,volatility (20d ATR%) >= 3.6888 AND distance from 120-day high <= -33.0168 AND distance from year-high <= -45.8202 AND close position in weekly range >= 0.1255,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_strength,ignore
FALCPAT_8733,BIKAJI,5,4.164,2-5%,20.82,9.310987058309124,hit_10pc_20d,capitulation,56.63551401869159,35.380587245184216,21.25492677350738,PROMOTED,volatility (20d ATR%) >= 4.3311 AND 60-day return <= -20.5526 AND close position in weekly range <= 0.7189,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness|weekly_weak_close,ignore
FALCPAT_6251,IDBI,4,4.161,2-5%,16.644,8.322,hit_25pc_30d,mean_reversion,19.98049818278521,10.722915258072424,9.25758292471279,PROMOTED,volatility (20d ATR%) >= 2.2352 AND distance from 50-DMA <= -12.9875 AND 60-day return <= -3.7201 AND 60d relative strength vs sector <= -4.494,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness|relative_strength,ignore
