config_id,profile,tier,fast_mem,slow_mem,lane,train_prof_capture,train_capture,valid_prof_capture,valid_capture,valid_days_ge70
V15W0143,2.0,0.0,0.0,0.0,0.0,3.5897435897435894,3.1976744186046515,2.8947368421052633,2.5449101796407185,1
V15W0144,2.0,0.0,0.0,0.0,0.5,3.5897435897435894,3.77906976744186,2.631578947368421,2.5449101796407185,0
V15W0145,2.0,0.0,0.0,2.0,0.0,12.564102564102564,13.953488372093023,10.526315789473683,11.077844311377245,3
V15W0146,2.0,0.0,0.0,2.0,0.5,13.58974358974359,14.825581395348838,10.526315789473683,10.778443113772456,2
V15W0147,2.0,0.0,0.0,5.0,0.0,13.333333333333334,14.825581395348838,12.368421052631579,12.125748502994012,2
V15W0148,2.0,0.0,0.0,5.0,0.5,13.846153846153847,15.11627906976744,13.157894736842104,12.574850299401197,2
V15W0149,2.0,0.0,3.0,0.0,0.0,26.923076923076923,29.505813953488374,24.736842105263158,25.299401197604794,7
V15W0150,2.0,0.0,3.0,0.0,0.5,27.435897435897438,29.651162790697676,24.47368421052632,25.59880239520958,8
V15W0151,2.0,0.0,3.0,2.0,0.0,25.384615384615383,27.47093023255814,21.31578947368421,22.005988023952096,6
V15W0152,2.0,0.0,3.0,2.0,0.5,25.384615384615383,27.47093023255814,21.578947368421055,21.856287425149702,6
V15W0153,2.0,0.0,3.0,5.0,0.0,22.05128205128205,24.12790697674419,18.421052631578945,18.263473053892216,4
V15W0154,2.0,0.0,3.0,5.0,0.5,22.05128205128205,24.418604651162788,18.684210526315788,18.562874251497004,4
V15W0155,2.0,0.0,6.0,0.0,0.0,28.717948717948715,31.1046511627907,24.47368421052632,25.59880239520958,7
V15W0156,2.0,0.0,6.0,0.0,0.5,28.717948717948715,30.959302325581394,25.0,25.748502994011975,7
V15W0157,2.0,0.0,6.0,2.0,0.0,27.17948717948718,29.21511627906977,23.94736842105263,23.353293413173652,6
V15W0158,2.0,0.0,6.0,2.0,0.5,26.666666666666668,29.069767441860467,23.684210526315788,23.20359281437126,6
V15W0159,2.0,0.0,6.0,5.0,0.0,24.102564102564102,26.744186046511626,21.052631578947366,21.107784431137723,6
V15W0160,2.0,0.0,6.0,5.0,0.5,24.102564102564102,26.598837209302324,21.052631578947366,21.107784431137723,6
V15W0161,2.0,0.0,10.0,0.0,0.0,28.974358974358978,31.3953488372093,24.736842105263158,25.449101796407188,7
V15W0162,2.0,0.0,10.0,0.0,0.5,28.974358974358978,31.831395348837212,25.263157894736842,25.748502994011975,7
V15W0163,2.0,0.0,10.0,2.0,0.0,27.692307692307693,30.377906976744185,24.210526315789473,24.10179640718563,6
V15W0164,2.0,0.0,10.0,2.0,0.5,28.46153846153846,30.813953488372093,24.210526315789473,24.10179640718563,6
V15W0165,2.0,0.0,10.0,5.0,0.0,25.384615384615383,27.906976744186046,22.894736842105264,22.45508982035928,6
V15W0166,2.0,0.0,10.0,5.0,0.5,25.128205128205128,27.906976744186046,22.894736842105264,22.45508982035928,6
