pattern_id,avg1,win1,avg2,win2,avg3,win3,avg5,win5,avg6,win6,n,last_date,n_recent,best_hold,best_avg,best_win,nstocks,n_consistent_stocks
8370,-0.2,42.0,0.13,47.0,0.37,49.0,0.81,51.0,1.02,52.0,19571,2024-12-31,12807,6,1.02,52.0,413,140
8371,-0.03,45.0,0.17,49.0,0.53,50.0,1.03,53.0,1.2,54.0,9786,2024-12-31,3983,6,1.2,54.0,437,213
8372,0.19,47.0,0.32,50.0,0.34,50.0,1.37,54.0,1.73,55.0,707,2024-12-19,574,6,1.73,55.0,168,36
8373,-0.07,44.0,0.04,47.0,0.23,48.0,0.87,51.0,1.05,51.0,11831,2024-12-31,4114,6,1.05,51.0,430,184
8375,-0.26,42.0,-0.16,45.0,0.39,46.0,0.74,48.0,1.14,49.0,1349,2024-12-26,1083,6,1.14,49.0,197,46
8376,0.01,44.0,0.28,47.0,0.46,49.0,1.64,51.0,1.93,52.0,1410,2024-12-31,1077,6,1.93,52.0,253,57
8377,-0.16,42.0,0.04,45.0,0.3,47.0,0.86,50.0,1.07,51.0,2322,2024-12-31,1725,6,1.07,51.0,305,89
8378,0.12,47.0,0.18,50.0,0.33,49.0,0.86,52.0,1.41,53.0,4280,2024-12-31,752,6,1.41,53.0,297,106
8381,-0.1,44.0,0.16,47.0,0.43,50.0,0.95,53.0,1.17,54.0,4751,2024-12-31,3100,6,1.17,54.0,293,117
8384,-0.19,43.0,-0.04,46.0,0.04,47.0,0.46,51.0,0.51,52.0,823,2024-12-27,483,6,0.51,52.0,234,43
8386,-0.3,41.0,0.14,44.0,0.74,46.0,1.91,49.0,2.44,49.0,2553,2024-12-31,2013,6,2.44,49.0,154,37
8397,0.02,46.0,0.45,49.0,1.56,50.0,4.11,54.0,5.38,54.0,10708,2024-12-31,2848,6,5.38,54.0,399,174
8402,-0.26,42.0,-0.12,46.0,0.26,49.0,0.64,50.0,0.82,51.0,4899,2024-12-31,3319,6,0.82,51.0,331,109
8403,-0.13,42.0,0.11,47.0,0.44,48.0,0.96,51.0,1.44,52.0,4471,2024-12-31,3068,6,1.44,52.0,306,122
8404,-0.09,44.0,0.5,48.0,1.11,50.0,2.47,52.0,2.91,53.0,32801,2024-12-31,13453,6,2.91,53.0,425,206
8405,-0.07,45.0,0.13,48.0,0.38,50.0,0.69,52.0,1.31,52.0,17989,2024-12-31,8796,6,1.31,52.0,446,192
8406,-0.09,45.0,0.02,48.0,0.26,48.0,0.8,51.0,0.82,51.0,7928,2024-12-31,3269,6,0.82,51.0,435,175
8407,-0.04,45.0,0.12,48.0,0.43,49.0,1.11,51.0,1.29,51.0,6371,2024-12-31,4102,6,1.29,51.0,432,183
8408,-0.09,43.0,0.15,46.0,0.28,47.0,1.17,50.0,1.43,50.0,3918,2024-12-31,3009,6,1.43,50.0,316,92
8411,-0.11,44.0,0.47,47.0,1.09,48.0,2.38,51.0,3.07,52.0,33100,2024-12-31,7590,6,3.07,52.0,373,166
8414,0.14,47.0,0.62,53.0,0.88,54.0,1.62,58.0,1.91,59.0,2993,2024-12-31,2388,6,1.91,59.0,330,147
8415,-0.07,44.0,0.21,49.0,0.51,51.0,1.03,53.0,1.32,54.0,8997,2024-10-21,6655,6,1.32,54.0,362,162
8416,-0.15,43.0,0.09,47.0,0.34,49.0,0.84,52.0,1.07,52.0,37435,2024-12-31,28784,6,1.07,52.0,391,120
8421,-0.15,43.0,0.1,48.0,0.37,49.0,0.83,52.0,1.05,53.0,20598,2024-12-31,16662,6,1.05,53.0,332,114
8422,0.06,45.0,0.26,46.0,0.85,48.0,1.47,50.0,1.69,51.0,2136,2024-12-31,1721,6,1.69,51.0,284,73
8425,-0.14,44.0,0.68,47.0,1.64,49.0,3.62,51.0,4.23,52.0,19131,2024-12-31,7336,6,4.23,52.0,405,191
8427,-0.15,43.0,0.12,48.0,0.33,49.0,0.73,51.0,1.01,52.0,8447,2024-12-31,6121,6,1.01,52.0,327,138
8428,-0.01,45.0,0.53,49.0,0.92,51.0,1.39,53.0,2.32,54.0,14573,2024-12-31,6722,6,2.32,54.0,413,199
