symbol,side,days,win,raw,neutral,retained,neut_sharpe,best_signal,bs_days,bs_neutral,sector
IOC,SHORT,535,52.897,0.058,-0.005,-9.004,-0.075,STANDARD,47,0.035,Oil Gas & Consumable Fuels
IOC,LONG,535,44.486,-0.147,-0.084,0.0,-1.199,GOLD-baseline,82,0.024,Oil Gas & Consumable Fuels
IREDA,SHORT,534,57.303,0.157,0.093,59.14,0.777,ENTERPRISE-Dryup,273,0.142,Financial Services
IREDA,LONG,534,41.573,-0.247,-0.182,0.0,-1.524,GOLD,145,0.001,Financial Services
IRFC,SHORT,535,60.0,0.168,0.104,62.187,0.998,extended_move,28,0.48,Financial Services
IRFC,LONG,535,37.57,-0.257,-0.194,0.0,-1.854,GOLD-baseline,36,0.085,Financial Services
ITC,SHORT,534,53.184,0.032,-0.027,-84.637,-0.34,STANDARD,21,0.296,Fast Moving Consumer Goods
ITC,LONG,534,42.697,-0.121,-0.063,0.0,-0.796,GOLD-baseline,94,-0.008,Fast Moving Consumer Goods
JINDALSTEL,SHORT,535,50.28,0.016,-0.047,-295.185,-0.57,GOLD-baseline,85,0.024,Metals & Mining
JINDALSTEL,LONG,535,46.168,-0.105,-0.042,0.0,-0.505,ENTERPRISE-Dryup,232,-0.041,Metals & Mining
JIOFIN,SHORT,535,56.262,0.136,0.073,53.507,0.927,STANDARD,55,0.28,Financial Services
JIOFIN,LONG,535,41.682,-0.226,-0.162,0.0,-2.062,ENTERPRISE-Dryup,237,-0.112,Financial Services
JSWENERGY,SHORT,535,54.393,0.134,0.071,52.84,0.654,extended_move,33,0.41,Power
JSWENERGY,LONG,535,44.112,-0.224,-0.16,0.0,-1.477,STANDARD,71,0.138,Power
JSWSTEEL,SHORT,535,50.093,-0.043,-0.106,0.0,-1.473,STANDARD,56,0.188,Metals & Mining
JSWSTEEL,LONG,535,46.355,-0.047,0.017,0.0,0.232,ENTERPRISE-Dryup,226,0.079,Metals & Mining
JUBLFOOD,SHORT,535,52.15,0.023,-0.04,-175.657,-0.399,GOLD-baseline,73,0.144,Consumer Services
JUBLFOOD,LONG,535,44.486,-0.112,-0.049,0.0,-0.484,STANDARD,64,0.074,Consumer Services
KALYANKJIL,SHORT,535,53.458,0.068,0.004,6.296,0.029,GOLD-baseline,72,0.295,Consumer Durables
KALYANKJIL,LONG,535,44.86,-0.157,-0.094,0.0,-0.635,STANDARD,77,0.063,Consumer Durables
KAYNES,SHORT,535,54.579,0.198,0.135,68.027,0.808,GOLD-baseline,110,0.493,Capital Goods
KAYNES,LONG,535,43.738,-0.288,-0.224,0.0,-1.343,ENTERPRISE-Dryup,235,-0.005,Capital Goods
KEI,SHORT,534,51.311,0.002,-0.062,-2847.918,-0.548,GOLD-baseline,84,0.101,Capital Goods
KEI,LONG,534,46.816,-0.092,-0.027,0.0,-0.241,extended_move,46,0.166,Capital Goods
KFINTECH,SHORT,535,54.393,0.031,-0.033,-105.249,-0.221,GOLD-baseline,73,0.557,Financial Services
KFINTECH,LONG,535,44.299,-0.12,-0.057,0.0,-0.386,extended_move,92,0.184,Financial Services
KOTAKBANK,SHORT,534,47.94,-0.111,-0.175,0.0,-2.625,STANDARD,32,-0.044,Financial Services
KOTAKBANK,LONG,534,48.127,0.021,0.085,403.089,1.284,GOLD,179,0.127,Financial Services
KPITTECH,SHORT,535,54.953,0.168,0.105,62.354,0.896,STANDARD,67,0.392,Information Technology
KPITTECH,LONG,535,43.551,-0.258,-0.194,0.0,-1.658,extended_move,23,0.032,Information Technology
LAURUSLABS,SHORT,535,45.981,-0.165,-0.228,0.0,-2.16,ENTERPRISE-Dryup,251,-0.126,Healthcare
LAURUSLABS,LONG,535,52.523,0.075,0.139,184.176,1.314,extended_move,83,0.355,Healthcare
LICHSGFIN,SHORT,535,53.271,0.116,0.053,45.319,0.671,STANDARD,50,0.501,Financial Services
LICHSGFIN,LONG,535,43.178,-0.205,-0.142,0.0,-1.812,GOLD-baseline,71,-0.016,Financial Services
LICI,SHORT,535,51.776,0.093,0.03,31.874,0.394,STANDARD,37,0.084,Financial Services
LICI,LONG,535,45.234,-0.182,-0.119,0.0,-1.582,GOLD-baseline,64,0.058,Financial Services
LODHA,SHORT,535,50.841,0.093,0.03,32.166,0.243,GOLD-baseline,90,0.18,Realty
LODHA,LONG,535,47.103,-0.183,-0.119,0.0,-0.965,extended_move,58,0.132,Realty
LT,SHORT,535,52.15,0.012,-0.051,-413.991,-0.799,STANDARD,39,0.145,Construction
LT,LONG,535,44.486,-0.102,-0.038,0.0,-0.599,ENTERPRISE-Dryup,253,0.033,Construction
