rule_id,rule_type,feature,direction,threshold,feature2,direction2,threshold2,selected_n,fired_n,label_precision,label_lift,outcome_mean_5x,outcome_win,score
R0826,pair,trend3_20__pct,hi,0.9,day_volume_1m__pct,lo,0.1,9,127,0.07086614173228346,4.166450712648261,2.731553075671247,55.118110236220474,30.630483320141707
R0510,pair,ret5_pct__pct,hi,0.95,close_vs_vwap_pct__pct,lo,0.2,31,301,0.10299003322259136,6.055118662124844,1.008224850356235,50.83056478405316,30.127115357310576
R1203,pair,ret2_pct__pct,hi,0.95,last60_vol_pct__pct,lo,0.3,45,677,0.06646971935007386,3.907970757062992,1.5323700327204393,51.55096011816839,29.82863646003736
R0799,pair,ret3_pct__pct,hi,0.9,first30_ret_pct__pct,lo,0.2,35,434,0.08064516129032258,4.741391043963523,1.2428891659878736,51.382488479262676,29.82031090470736
R0526,pair,ret5_pct__pct,hi,0.95,last60_vol_pct__pct,lo,0.2,38,504,0.07539682539682539,4.432824325229388,1.3986799985195473,52.182539682539684,29.376487558930943
R0514,pair,ret5_pct__pct,hi,0.95,close_vs_vwap_pct__pct,lo,0.3,35,372,0.09408602150537634,5.53162288462411,1.0170449512132504,49.46236559139785,29.326904316705026
R0566,pair,trend3_20__pct,hi,0.95,ret20_pct__pct,hi,0.9,28,327,0.0856269113149847,5.034284313345978,1.2188064366787956,50.45871559633027,29.176176019418815
R0827,pair,trend3_20__pct,hi,0.9,volume__pct,lo,0.1,9,127,0.07086614173228346,4.166450712648261,2.6099282639741848,54.330708661417326,28.940256207035734
R1390,pair,first15_ret_pct__pct,lo,0.05,last15_ret_pct__pct,hi,0.95,8,89,0.0898876404494382,5.284786422035746,1.8636505509866133,49.43820224719101,28.815337436490303
R1450,pair,down_day_streak__pct,lo,0.2,open_gap_pct__pct,lo,0.05,5,55,0.09090909090909091,5.344840813195244,2.0644231163416715,58.18181818181818,28.718151190587584
R0667,pair,ret3_pct__pct,hi,0.95,last60_vol_pct__pct,lo,0.2,41,508,0.08070866141732283,4.7451244227382965,1.1051659176059478,51.96850393700787,28.483565660902013
R0538,pair,trend3_20__pct,hi,0.95,ret3_pct__pct,hi,0.8,60,843,0.0711743772241993,4.184572878658198,1.2529341133721905,49.70344009489917,28.362138089268207
R1456,pair,down_day_streak__pct,lo,0.2,last60_vol_pct__pct,lo,0.3,31,649,0.04776579352850539,2.8083061899839414,2.4973120646787224,55.77812018489985,28.28679595326208
R0436,pair,down_day_streak__pct,lo,0.1,day_range_pct__pct,hi,0.7,11,146,0.07534246575342465,4.429628345182359,2.24639053859814,52.054794520547944,28.217401068536624
R1562,pair,first15_ret_pct__pct,lo,0.1,last15_ret_pct__pct,hi,0.95,9,173,0.05202312138728324,3.05860832662618,3.3494656509767124,55.49132947976878,28.009075624274924
R0637,pair,ret3_pct__pct,hi,0.95,last30_volume__pct,lo,0.1,7,89,0.07865168539325842,4.624188119281278,2.3474570992082806,51.68539325842697,27.783706556197444
