config_id,entry_date,signal_date,n_positions,symbols,avg_clone_score,avg_rules_fired,avg_symbol_prior,high_tier_only,top_n,min_rules,rule_weight,profile_weight,symbol_prior_weight
C000,2025-05-19,2025-05-16,10,"PTCIL,CEMPRO,LINDEINDIA,TEGA,ABBOTINDIA,SHREECEM,AIIL,PAGEIND,HBLENGINE,BDL",857.3831234643949,33.9,0.26996099320526806,1,10,0,1.0,2.0,4.0
C000,2025-05-20,2025-05-19,10,"COCHINSHIP,GRSE,ECLERX,MAZDOCK,NEULANDLAB,APARINDS,KIRLOSENG,JSWDULUX,DATAPATTNS,IFCI",1055.074672266632,43.2,0.2585711489528283,1,10,0,1.0,2.0,4.0
C000,2025-05-21,2025-05-20,10,"ZENTEC,UTIAMC,BBTC,KPRMILL,IDBI,NLCINDIA,REDINGTON,INTELLECT,UNIONBANK,ABBOTINDIA",3114.6008597496825,56.5,0.1611763554511646,1,10,0,1.0,2.0,4.0
C000,2025-05-22,2025-05-21,10,"PFIZER,NEWGEN,CCL,ZENTEC,ABBOTINDIA,JSWDULUX,BBTC,ECLERX,BAJAJHLDNG,GRAPHITE",1023.8817264866029,42.3,0.13811900567625757,1,10,0,1.0,2.0,4.0
C000,2025-05-23,2025-05-22,10,"JKTYRE,TRIDENT,GODIGIT,SIEMENS,LTFOODS,CAPLIPOINT,ERIS,DOMS,ANGELONE,GLAND",699.1699853201064,28.7,0.2591554120180074,1,10,0,1.0,2.0,4.0
C000,2025-05-26,2025-05-23,10,"PTCIL,TTML,GRSE,JUBLPHARMA,POWERINDIA,CAPLIPOINT,JKTYRE,PFIZER,NTPCGREEN,GLAXO",1050.3506184750058,42.6,0.3020338058887677,1,10,0,1.0,2.0,4.0
C000,2025-05-27,2025-05-26,10,"PTCIL,HONASA,RPOWER,TBOTEK,CLEAN,BAJAJHLDNG,TTML,PFIZER,GRSE,AIAENG",1191.900857956724,47.4,0.37497665184688084,1,10,0,1.0,2.0,4.0
C000,2025-05-28,2025-05-27,10,"EMCURE,LINDEINDIA,HONASA,KEC,GILLETTE,BEML,CLEAN,TBOTEK,BLUEDART,AIAENG",1211.3782163204492,48.0,0.2858690546095126,1,10,0,1.0,2.0,4.0
C000,2025-05-29,2025-05-28,10,"BAYERCROP,PFIZER,BEML,LINDEINDIA,3MINDIA,GILLETTE,EMCURE,GVT&D,BOSCHLTD,MRF",1104.2399614471929,44.1,0.16980328831473868,1,10,0,1.0,2.0,4.0
C000,2025-05-30,2025-05-29,10,"BAYERCROP,TEGA,LICI,PFIZER,TECHNOE,MRF,NETWEB,BLUEJET,HINDCOPPER,CONCORDBIO",1102.0831875476586,41.8,0.1739870816206694,1,10,0,1.0,2.0,4.0
