poll_ist,fn,symbol,exchange,periodicity,bars,newest_bar_ist,close,oi,volume,reply_ms,error
2026-09-23 12:11:21,GetHistory,FUTSTK_RELIANCE_29SEP2026_XX_0,NFO,15minute,63,2026-09-23 11:45:00,1251.9,113246500,365500,1440,
2026-09-23 12:11:22,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_CE_56200,NFO,15minute,63,2026-09-23 11:45:00,613.85,138660,15240,1076,
2026-09-23 12:11:23,GetHistory,OPTIDX_BANKNIFTY_29SEP2026_PE_56200,NFO,15minute,63,2026-09-23 11:45:00,153.4,316710,35550,1264,
2026-09-23 12:11:27,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,15minute,63,2026-09-23 11:45:00,172.6,2891720,1599650,3161,
2026-09-23 12:11:28,GetHistory,OPTIDX_NIFTY_29SEP2026_PE_23350,NFO,15minute,63,2026-09-23 11:45:00,76.1,7952230,2660255,1356,
2026-09-23 12:11:30,GetHistory,HDFCBANK,NSE,15minute,65,2026-09-23 11:45:00,741.55,0,436175,2324,
2026-09-23 12:11:33,GetHistory,RELIANCE,NSE,15minute,65,2026-09-23 11:45:00,1249.0,0,369878,2408,
2026-09-23 12:11:36,GetHistory,NIFTY 50,NSE_IDX,15minute,109,2026-09-23 11:45:00,23429.45,0,0,3313,
2026-09-23 12:11:40,GetHistory,NIFTY BANK,NSE_IDX,15minute,109,2026-09-23 11:45:00,56530.9,0,0,3576,
2026-09-23 12:12:22,GetHistory,NIFTY 50,NSE_IDX,1minute,169,2026-09-23 11:57:00,23424.65,0,0,3462,
2026-09-23 12:12:23,GetHistory,RELIANCE,NSE,1minute,163,2026-09-23 11:57:00,1249.0,0,38649,450,
2026-09-23 12:12:24,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,163,2026-09-23 11:57:00,23444.0,16224130,5915,1417,
2026-09-23 12:12:25,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,163,2026-09-23 11:57:00,170.0,2900040,74165,546,
2026-09-23 12:12:53,GetExchangeSnapshot,NFO,NFO,1minute,2968,2026-09-23 11:57:00,2634,635400,2968,28473,
2026-09-23 12:14:33,GetHistory,NIFTY 50,NSE_IDX,1minute,171,2026-09-23 11:59:00,23429.45,0,0,1099,
2026-09-23 12:14:34,GetHistory,RELIANCE,NSE,1minute,165,2026-09-23 11:59:00,1249.0,0,7511,977,
2026-09-23 12:14:35,GetHistory,FUTIDX_NIFTY_29SEP2026_XX_0,NFO,1minute,165,2026-09-23 11:59:00,23448.0,16217890,3380,982,
2026-09-23 12:14:39,GetHistory,OPTIDX_NIFTY_29SEP2026_CE_23350,NFO,1minute,165,2026-09-23 11:59:00,172.6,2891720,42965,3419,
2026-09-23 12:15:07,GetExchangeSnapshot,NFO,NFO,1minute,2946,2026-09-23 11:59:00,2613,630581,2946,28020,
2026-09-23 12:15:30,GetExchangeSnapshot,NSE,NSE,1minute,1637,2026-09-23 12:00:00,2,307855,1637,23719,
2026-09-23 12:16:52,GetHistory,FUTIDX_BANKNIFTY_29SEP2026_XX_0,NFO,15minute,64,2026-09-23 12:00:00,56715.2,1884360,4890,4532,
