date,month,n_stocks,portfolio_ret_pct_cash,portfolio_pnl_rs,basket_MFE_pct,basket_MAE_pct,basket_EOD_pct,armed,capture_pct,hit_+1pct,basket_exit_reason
2025-05-23,2025-05,5,2.961,2920.0,8.608,1.948,7.31,YES,34.0,YES,TRAIL
2025-05-26,2025-05,5,0.146,137.0,0.763,-0.44,-0.102,no,19.0,no,mixed/stops
2025-05-27,2025-05,5,1.81,1730.0,3.094,-0.22,2.827,YES,58.0,YES,TRAIL
2025-05-28,2025-05,5,2.268,2217.0,5.546,-0.443,4.584,YES,41.0,YES,TRAIL
2025-05-29,2025-05,5,2.77,2724.0,6.726,0.927,6.44,YES,41.0,YES,TRAIL
2025-05-30,2025-05,5,-0.618,-606.0,1.667,-0.974,-0.137,no,0.0,no,mixed/stops
2025-06-02,2025-06,5,-0.512,-457.0,0.475,-2.961,-2.686,no,0.0,no,mixed/stops
2025-06-03,2025-06,5,4.157,3717.0,5.366,-0.237,4.161,YES,77.0,YES,TRAIL
2025-06-04,2025-06,5,-0.51,-498.0,2.479,-1.139,2.043,YES,0.0,no,mixed/stops
2025-06-05,2025-06,5,0.995,892.0,1.788,0.109,0.995,no,56.0,no,mixed/stops
2025-06-06,2025-06,5,7.05,6344.0,8.028,-0.131,5.405,YES,88.0,YES,TRAIL
2025-06-09,2025-06,5,0.071,68.0,0.392,-1.548,-0.388,no,18.0,no,mixed/stops
2025-06-10,2025-06,5,-0.302,-297.0,0.216,-0.702,-0.31,no,0.0,no,mixed/stops
2025-06-11,2025-06,5,1.684,1640.0,2.557,-0.587,2.382,YES,66.0,YES,TRAIL
2025-06-12,2025-06,5,2.557,2329.0,3.439,-0.357,0.705,YES,74.0,YES,TRAIL
2025-06-13,2025-06,5,10.096,9103.0,12.215,3.357,11.439,YES,83.0,YES,TRAIL
2025-06-16,2025-06,5,-0.483,-439.0,2.137,-1.324,1.323,YES,0.0,no,mixed/stops
2025-06-17,2025-06,5,0.205,199.0,1.089,-0.257,0.15,no,19.0,no,mixed/stops
2025-06-18,2025-06,5,1.039,1015.0,2.216,-0.915,2.141,YES,47.0,YES,mixed/stops
2025-06-19,2025-06,5,0.942,874.0,1.815,-0.829,0.233,no,52.0,no,mixed/stops
2025-06-20,2025-06,5,1.86,1742.0,6.304,-0.35,5.068,YES,30.0,YES,TRAIL
2025-06-23,2025-06,5,2.415,2363.0,3.952,-0.211,2.946,YES,61.0,YES,TRAIL
2025-06-24,2025-06,5,0.491,482.0,1.373,-0.4,0.589,no,36.0,no,mixed/stops
2025-06-25,2025-06,5,4.767,4676.0,5.306,-0.126,4.728,YES,90.0,YES,TRAIL
2025-06-26,2025-06,4,1.498,1183.0,1.807,-0.245,1.557,no,83.0,YES,mixed/stops
2025-06-27,2025-06,5,5.949,5878.0,8.437,-0.585,7.426,YES,71.0,YES,TRAIL
2025-06-30,2025-06,4,0.34,270.0,0.96,-0.725,0.405,no,35.0,no,mixed/stops
2025-07-01,2025-07,5,1.545,1521.0,2.124,-0.129,1.528,YES,73.0,YES,TRAIL
2025-07-02,2025-07,5,1.266,1222.0,1.762,-0.181,0.858,no,72.0,YES,mixed/stops
2025-07-03,2025-07,5,5.514,5407.0,5.994,-0.517,5.861,YES,92.0,YES,mixed/stops
2025-07-04,2025-07,5,1.358,1308.0,3.253,-0.247,2.562,YES,42.0,YES,mixed/stops
2025-07-07,2025-07,5,-1.284,-1248.0,0.558,-2.565,-2.376,no,0.0,no,mixed/stops
2025-07-08,2025-07,5,3.468,3171.0,5.025,0.141,4.17,YES,69.0,YES,TRAIL
2025-07-09,2025-07,5,0.824,762.0,2.637,-0.347,2.145,YES,31.0,no,mixed/stops
2025-07-10,2025-07,5,4.494,4213.0,4.911,0.182,4.494,YES,92.0,YES,mixed/stops
2025-07-11,2025-07,5,1.403,1303.0,2.436,-0.036,1.411,YES,58.0,YES,TRAIL
2025-07-14,2025-07,5,-0.034,-33.0,4.416,-1.522,3.627,YES,0.0,no,mixed/stops
2025-07-15,2025-07,5,3.305,3192.0,4.114,0.329,3.495,YES,80.0,YES,TRAIL
2025-07-16,2025-07,5,1.492,1424.0,3.505,0.337,2.821,YES,43.0,YES,TRAIL
2025-07-17,2025-07,5,2.131,2064.0,2.797,0.05,1.872,YES,76.0,YES,TRAIL
2025-07-18,2025-07,5,2.464,2426.0,2.466,-1.107,1.651,YES,100.0,YES,TRAIL
2025-07-21,2025-07,5,1.084,1062.0,1.406,-0.132,1.084,no,77.0,YES,mixed/stops
2025-07-22,2025-07,4,0.86,843.0,1.608,-0.327,0.86,no,53.0,no,mixed/stops
2025-07-23,2025-07,4,1.366,1340.0,1.571,-0.226,1.366,no,87.0,YES,mixed/stops
2025-07-24,2025-07,4,2.103,2061.0,6.074,0.675,5.26,YES,35.0,YES,TRAIL
2025-07-25,2025-07,4,-0.78,-773.0,0.494,-4.656,-1.397,no,0.0,no,mixed/stops
2025-07-28,2025-07,4,-1.052,-1027.0,0.903,-1.603,-1.429,no,0.0,no,mixed/stops
2025-07-29,2025-07,5,3.467,3296.0,3.897,-0.237,3.467,YES,89.0,YES,mixed/stops
2025-07-30,2025-07,5,1.03,971.0,2.724,-0.152,2.155,YES,38.0,YES,mixed/stops
2025-07-31,2025-07,5,3.609,3403.0,6.751,0.081,6.674,YES,53.0,YES,mixed/stops
