entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json
2024-12-31,2024-12-30,15,"PTCIL,GRSE,AJANTPHARM,INTELLECT,DEVYANI,CAPLIPOINT,PGEL,CEATLTD,ACUTAAS,AMBER,SOLARINDS,DCMSHRIRAM,HSCL,ELECON,KFINTECH",34.38487939673262,"{""continuation"": 7, ""dryup_compression"": 1, ""pullback_reversal"": 7}"
2025-01-01,2024-12-31,15,"MAHABANK,RAILTEL,DMART,SAMMAANCAP,LATENTVIEW,SHYAMMETL,OIL,SAREGAMA,HUDCO,INTELLECT,TARIL,CHOLAHLDNG,SUNDARMFIN,PTCIL,AMBER",39.97701871702817,"{""continuation"": 7, ""dryup_compression"": 2, ""pullback_reversal"": 4, ""recovery"": 2}"
2025-01-02,2025-01-01,15,"SHYAMMETL,SAREGAMA,DMART,SAMMAANCAP,AWL,MAHABANK,POLYMED,RAILTEL,LATENTVIEW,PTCIL,OIL,VIJAYA,CHOLAHLDNG,HUDCO,TARIL",41.06243346339521,"{""continuation"": 11, ""dryup_compression"": 1, ""pullback_reversal"": 3}"
2025-01-03,2025-01-02,15,"SUNDARMFIN,FORCEMOT,OIL,CHOLAHLDNG,DMART,EICHERMOT,HUDCO,CARTRADE,SAREGAMA,SHYAMMETL,AWL,SAMMAANCAP,IGL,POLYMED,PTCIL",46.16190782892317,"{""continuation"": 13, ""fresh_breakout"": 1, ""pullback_reversal"": 1}"
2025-01-06,2025-01-03,15,"SAREGAMA,DMART,SHYAMMETL,ITI,IREDA,SUNDARMFIN,FORCEMOT,OIL,CHOLAHLDNG,HUDCO,EICHERMOT,MAHABANK,CARTRADE,IGL,RITES",40.423056316062585,"{""continuation"": 14, ""fresh_breakout"": 1}"
2025-01-07,2025-01-06,15,"SAREGAMA,DMART,SHYAMMETL,ITI,AWL,IREDA,MAHABANK,TARIL,FORCEMOT,HUDCO,SUNDARMFIN,RITES,CREDITACC,OIL,SAMMAANCAP",37.635966753488795,"{""continuation"": 11, ""fresh_breakout"": 1, ""pullback_reversal"": 3}"
2025-01-08,2025-01-07,15,"JSWDULUX,SHYAMMETL,SRF,BDL,VIJAYA,ANANDRATHI,LLOYDSME,RKFORGE,NAVINFLUOR,UBL,AWL,AARTIIND,TARIL,FORCEMOT,SUNDARMFIN",33.03492457117702,"{""continuation"": 13, ""pullback_reversal"": 2}"
2025-01-09,2025-01-08,15,"SRF,JSWDULUX,SHYAMMETL,BDL,ANANDRATHI,VIJAYA,LLOYDSME,RKFORGE,NAVINFLUOR,AARTIIND,UBL,CONCORDBIO,MARICO,DMART,SAREGAMA",35.10979071531753,"{""continuation"": 13, ""pullback_reversal"": 2}"
2025-01-10,2025-01-09,15,"SRF,JSWDULUX,AARTIIND,SHYAMMETL,PTCIL,VIJAYA,LLOYDSME,NAVINFLUOR,UBL,BDL,MARICO,ANANDRATHI,RKFORGE,CONCORDBIO,DMART",38.05084218000661,"{""continuation"": 13, ""fresh_breakout"": 2}"
2025-01-13,2025-01-10,15,"PTCIL,SRF,SHYAMMETL,JSWDULUX,RKFORGE,AARTIIND,VIJAYA,LLOYDSME,UBL,NAVINFLUOR,BDL,MARICO,ANANDRATHI,INDIAMART,DMART",38.93117239313712,"{""continuation"": 14, ""pullback_reversal"": 1}"
2025-01-14,2025-01-13,15,"SRF,VIJAYA,PTCIL,RKFORGE,SHYAMMETL,LLOYDSME,JSWDULUX,UBL,BDL,INDIAMART,CONCORDBIO,DMART,SAREGAMA,AARTIIND,NAVINFLUOR",31.88099999056551,"{""continuation"": 12, ""pullback_reversal"": 3}"
2025-01-15,2025-01-14,15,"IDEA,ADANIGREEN,RVNL,NBCC,GMDCLTD,IRCON,SRF,VIJAYA,SWANCORP,ADANIENSOL,RAILTEL,RPOWER,HUDCO,BDL,BLS",33.89261790912866,"{""continuation"": 7, ""pullback_reversal"": 3, ""recovery"": 5}"
2025-01-16,2025-01-15,15,"IDEA,ADANIGREEN,RVNL,NBCC,GMDCLTD,IRCON,SRF,VIJAYA,SWANCORP,ADANIENSOL,RAILTEL,RPOWER,HUDCO,BDL,BLS",34.103846643615945,"{""continuation"": 4, ""dryup_compression"": 2, ""pullback_reversal"": 6, ""recovery"": 3}"
2025-01-17,2025-01-16,15,"GMDCLTD,RAILTEL,JWL,RVNL,RPOWER,BDL,HUDCO,IDBI,IDEA,SWANCORP,ADANIGREEN,NBCC,SAMMAANCAP,IRCON,ADANIENSOL",41.010601547161386,"{""continuation"": 15}"
2025-01-20,2025-01-17,15,"GMDCLTD,RAILTEL,JWL,RVNL,RPOWER,BDL,HUDCO,IDBI,SWANCORP,SAMMAANCAP,INOXWIND,NBCC,ADANIENSOL,SRF,IDEA",38.93938818367487,"{""continuation"": 15}"
2025-01-21,2025-01-20,15,"INOXWIND,HFCL,SWANCORP,PAYTM,NIACL,JWL,MINDACORP,NBCC,ADANIGREEN,RAILTEL,BSE,GMDCLTD,RVNL,SRF,HUDCO",17.184064647224147,"{""continuation"": 10, ""pullback_reversal"": 5}"
2025-01-22,2025-01-21,15,"CGCL,ULTRACEMCO,MPHASIS,ZENSARTECH,COFORGE,NAVA,FIVESTAR,WOCKPHARMA,POLICYBZR,HFCL,INOXWIND,SWANCORP,MCX,PAYTM,KFINTECH",1.516944955155694,"{""continuation"": 2, ""dryup_compression"": 2, ""pullback_reversal"": 11}"
2025-01-23,2025-01-22,15,"PERSISTENT,MPHASIS,CGCL,ULTRACEMCO,KEI,COFORGE,ZENSARTECH,FIVESTAR,WOCKPHARMA,AMBER,POLICYBZR,NAVA,LAURUSLABS,KFINTECH,MCX",3.6903720063487304,"{""continuation"": 8, ""pullback_reversal"": 7}"
2025-01-24,2025-01-23,15,"PERSISTENT,ZENSARTECH,WOCKPHARMA,COFORGE,AMBER,CGCL,MPHASIS,ULTRACEMCO,POLICYBZR,LAURUSLABS,KFINTECH,NAVA,KEI,FIVESTAR,MCX",39.92208835407145,"{""continuation"": 13, ""pullback_reversal"": 1, ""recovery"": 1}"
2025-01-27,2025-01-24,15,"CGCL,FIVESTAR,ZENSARTECH,PERSISTENT,WOCKPHARMA,COFORGE,AMBER,MPHASIS,ULTRACEMCO,POLICYBZR,LAURUSLABS,KFINTECH,NAVA,GMDCLTD,JWL",42.450163866070746,"{""continuation"": 11, ""pullback_reversal"": 3, ""recovery"": 1}"
2025-01-28,2025-01-27,15,"COFORGE,POLICYBZR,CGCL,FIVESTAR,PERSISTENT,ZENSARTECH,WOCKPHARMA,ULTRACEMCO,MCX,NAVA,BBTC,MPHASIS,AMBER,GMDCLTD,JWL",39.95761372446911,"{""continuation"": 9, ""dryup_compression"": 1, ""pullback_reversal"": 5}"
2025-01-29,2025-01-28,15,"GRAVITA,KPITTECH,JMFINANCIL,BRIGADE,OLECTRA,COFORGE,POLICYBZR,POLYMED,ZENTEC,SYRMA,PCBL,JUBLFOOD,PGEL,TRENT,KALYANKJIL",18.715517146400604,"{""continuation"": 5, ""pullback_reversal"": 8, ""recovery"": 2}"
2025-01-30,2025-01-29,15,"PGEL,KPITTECH,JMFINANCIL,ZENTEC,SYRMA,GRAVITA,GODFRYPHLP,NETWEB,NEWGEN,TRENT,KALYANKJIL,BRIGADE,JUBLPHARMA,OLECTRA,POLYMED",40.06583539622938,"{""continuation"": 8, ""pullback_reversal"": 2, ""recovery"": 5}"
2025-01-31,2025-01-30,15,"PGEL,ZENTEC,JMFINANCIL,SYRMA,KPITTECH,GRAVITA,GODFRYPHLP,NETWEB,NEWGEN,TRENT,KALYANKJIL,POLYMED,JUBLPHARMA,CGCL,COFORGE",43.12126946482586,"{""continuation"": 4, ""pullback_reversal"": 8, ""recovery"": 3}"
2025-02-01,2025-01-31,15,"PGEL,PCBL,GRAVITA,ZENTEC,TRENT,KALYANKJIL,POLYMED,JUBLFOOD,JMFINANCIL,PNBHOUSING,GODFRYPHLP,NEWGEN,KPITTECH,SYRMA,CGCL",45.33808284961313,"{""continuation"": 10, ""pullback_reversal"": 3, ""recovery"": 2}"
2025-02-03,2025-02-01,15,"PGEL,PNBHOUSING,PCBL,GRAVITA,ZENTEC,POLYMED,TRENT,KALYANKJIL,JUBLFOOD,JMFINANCIL,GPIL,GODFRYPHLP,NEWGEN,HSCL,KPITTECH",38.35719530924799,"{""continuation"": 11, ""dryup_compression"": 1, ""pullback_reversal"": 1, ""recovery"": 2}"
2025-02-04,2025-02-03,15,"HSCL,LTFOODS,PNBHOUSING,GRAVITA,GPIL,CGPOWER,ABSLAMC,KALYANKJIL,NETWEB,SUZLON,POLYMED,GODFRYPHLP,NEWGEN,KPITTECH,PGEL",22.74065506816749,"{""continuation"": 9, ""dryup_compression"": 1, ""pullback_reversal"": 5}"
2025-02-05,2025-02-04,15,"NATCOPHARM,AEGISLOG,KFINTECH,JYOTICNC,ABB,SPLPETRO,HSCL,GICRE,LTFOODS,TARIL,ABBOTINDIA,CASTROLIND,GODFRYPHLP,ERIS,AFFLE",24.53998759158476,"{""continuation"": 8, ""dryup_compression"": 1, ""pullback_reversal"": 2, ""recovery"": 4}"
2025-02-06,2025-02-05,15,"ABBOTINDIA,ERIS,TARIL,PAYTM,NATCOPHARM,AEGISLOG,MEDANTA,KFINTECH,JYOTICNC,ABB,SPLPETRO,REDINGTON,GODFRYPHLP,GICRE,CASTROLIND",36.312044347889,"{""continuation"": 12, ""pullback_reversal"": 1, ""recovery"": 2}"
2025-02-07,2025-02-06,15,"POWERINDIA,ABBOTINDIA,ERIS,TARIL,PAYTM,GLAXO,MEDANTA,GODFRYPHLP,CHAMBLFERT,WELCORP,REDINGTON,GICRE,NATCOPHARM,AEGISLOG,PGEL",30.29131037682869,"{""continuation"": 12, ""pullback_reversal"": 1, ""recovery"": 2}"
2025-02-10,2025-02-07,15,"GODFRYPHLP,CHAMBLFERT,KFINTECH,PAYTM,JYOTICNC,CAPLIPOINT,POWERINDIA,GABRIEL,JMFINANCIL,GLAXO,ABB,JSWENERGY,GICRE,WELCORP,ABBOTINDIA",34.09507730409413,"{""continuation"": 12, ""fresh_breakout"": 1, ""recovery"": 2}"
