pattern,n_symbols,total_n,avg_d1_mean,avg_d1_median,max_pair_avg_d1,min_pair_avg_d1,avg_d1_weighted,family
FALCPAT_7787,71,646,1.2266478873239437,1.117,3.746,0.508,1.133250773993808,unclassified
FALCPAT_7515,71,1164,1.124394366197183,0.969,4.273,0.506,0.9529046391752574,unclassified
FALCPAT_7621,71,1155,1.097661971830986,0.95,4.083,0.509,0.9520761904761904,unclassified
FALCPAT_6784,71,1323,1.380901408450704,0.958,6.605,0.512,0.9438503401360542,unclassified
FALCPAT_8084,71,1278,0.9449154929577465,0.799,2.86,0.501,0.8659209702660404,unclassified
FALCPAT_7747,71,1272,0.9818450704225352,0.74,3.405,0.504,0.8616415094339624,unclassified
FALCPAT_8772,71,1455,1.0048591549295776,0.784,3.029,0.506,0.7990632302405499,unclassified
FALCPAT_7910,71,2187,0.9583380281690141,0.761,4.072,0.501,0.750026520347508,unclassified
FALCPAT_6205,71,2253,0.795774647887324,0.714,2.492,0.501,0.7278007101642253,unclassified
FALCPAT_8230,70,788,1.2835,1.0705,4.209,0.503,1.2384390862944166,unclassified
FALCPAT_6658,70,858,1.3048142857142857,0.972,8.51,0.501,1.035668997668998,unclassified
FALCPAT_7430,70,1136,1.2674285714285713,0.8755,7.539,0.501,0.9934894366197179,unclassified
FALCPAT_8730,70,743,0.9731428571428572,0.8049999999999999,3.25,0.513,0.855179004037685,unclassified
FALCPAT_7432,70,1623,0.94,0.7895000000000001,2.57,0.504,0.780712877387554,unclassified
