trade_date,symbol,manual_rank,tier,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,basket_ret5x_pct,day_pnl_rs,day_pnl_rs 1X,teacher_profitable
2024-12-31,CHOLAHLDNG,3,ENTERPRISE-Dryup,09:15,1430,15:29,1395.8,-2.39,EOD,6.89,34453,6890.6,0
2024-12-31,SAMMAANCAP,4,ENTERPRISE-Dryup,09:15,149.6,15:29,150.96,0.91,EOD,6.89,34453,6890.6,1
2024-12-31,RAILTEL,5,ENTERPRISE-Dryup,09:15,390.05,15:29,403.5,3.45,EOD,6.89,34453,6890.6,1
2024-12-31,SHYAMMETL,6,ENTERPRISE-Dryup,09:15,715.1,15:29,725.85,1.5,EOD,6.89,34453,6890.6,1
2024-12-31,SAREGAMA,7,GOLD-baseline,09:15,461.45,15:29,464,0.55,EOD,6.89,34453,6890.6,1
2024-12-31,OIL,8,GOLD,09:15,420.75,15:29,430.9,2.41,EOD,6.89,34453,6890.6,1
2024-12-31,LATENTVIEW,9,ENTERPRISE-Dryup,09:15,465.5,15:29,489.7,5.2,EOD,6.89,34453,6890.6,1
2024-12-31,SUNDARMFIN,10,ENTERPRISE-Dryup,09:15,4220.2,15:29,4194,-0.62,EOD,6.89,34453,6890.6,0
2024-12-31,PTCIL,11,GOLD-baseline,09:15,13487,15:29,13200,-2.13,EOD,6.89,34453,6890.6,0
2024-12-31,HUDCO,13,ENTERPRISE-Dryup,09:15,226.9,15:29,234.84,3.5,EOD,6.89,34453,6890.6,1
2024-12-31,TARIL,14,GOLD,09:15,540,15:29,572.5,6.02,EOD,6.89,34453,6890.6,1
2024-12-31,VIJAYA,15,GOLD,09:15,1055.95,15:29,1054.6,-0.13,EOD,6.89,34453,6890.6,0
2025-01-01,CHOLAHLDNG,2,ENTERPRISE-Dryup,09:15,1400.2,15:29,1392,-0.59,EOD,6.89,34456,6891.2,0
2025-01-01,SHYAMMETL,3,GOLD,09:15,726.8,15:29,738,1.54,EOD,6.89,34456,6891.2,1
2025-01-01,DMART,5,PREMIUM-Compression,09:15,3560,15:29,3562,0.06,EOD,6.89,34456,6891.2,1
2025-01-01,SAREGAMA,6,GOLD,09:15,460.3,15:29,480.1,4.3,EOD,6.89,34456,6891.2,1
2025-01-01,SAMMAANCAP,7,PREMIUM-Compression,09:15,151,15:29,152.7,1.13,EOD,6.89,34456,6891.2,1
2025-01-01,AWL,9,PREMIUM-Pullback,09:15,308,15:29,327.7,6.4,EOD,6.89,34456,6891.2,1
2025-01-01,SUNDARMFIN,10,ENTERPRISE-Dryup,09:15,4193.7,15:29,4097,-2.31,EOD,6.89,34456,6891.2,0
2025-01-01,POLYMED,11,GOLD-baseline,09:15,2620,15:29,2678.65,2.24,EOD,6.89,34456,6891.2,1
2025-01-01,PTCIL,12,GOLD-baseline,09:15,13249.5,15:29,13330,0.61,EOD,6.89,34456,6891.2,1
